CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
03.251.720/0001-18;2024-03-01;1;12344026.43;0;10875270.52;0;1468755.91;251326465;251326465;11874693.88;203347778.98;36103992.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1198538.18;1150493.81;0;48044.37;0;25786.84;0;0;0;0;0;0;0;9150049.9;9175836.74
03.251.720/0001-18;2024-04-01;1;12041207.12;0;10240227.28;0;1800979.84;251326465;251326465;11874693.88;203347778.98;36103992.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1369035.98;1322294.55;0;46741.43;0;70263.55;0;0;0;0;0;0;0;9130928.44;9201191.99
03.251.720/0001-18;2024-05-01;1;12283700.92;212918.08;10323648.59;0;1747134.25;251326465;251326465;11874693.88;203347778.98;36103992.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1314901.18;1251978.39;0;62922.79;0;69180.9;0;0;0;0;0;0;0;9143601.9;9212782.8
03.251.720/0001-18;2024-06-01;1;12597820.72;0;10404602.03;0;2193218.69;251326465;251326465;11874693.88;203347778.98;36103992.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1302875.37;1243195.43;0;59679.94;585000;71784.3;0;0;0;0;0;0;0;9179222.47;9836006.77
03.251.720/0001-18;2024-07-01;1;13067289.41;0;10504206.31;0;2563083.1;251326465;251326465;11874693.88;203347778.98;36103992.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;967898.93;912187.29;0;55711.64;0;71126.6;0;0;0;0;0;0;0;9219883.76;9291010.36
03.251.720/0001-18;2024-08-01;1;12981186.16;0;10596886.61;0;2384299.55;251326465;251326465;11874693.88;203347778.98;36103992.14;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1276327.97;1050552.46;0;225775.51;0;69457.46;0;0;0;0;0;0;0;9344528.54;9413986
03.251.720/0001-18;2024-09-01;1;13369495.77;0;10690720.76;0;2678775.01;251326465;251326465;11874693.88;203347778.98;36103992.14;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1180368.76;958569.62;0;221799.14;0;72243.84;0;0;0;0;0;0;0;9452525.06;9524768.9
03.251.720/0001-18;2024-10-01;1;13645683.1;0;10797946.25;0;2847736.85;251326465;251326465;11874693.88;203347778.98;36103992.14;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1119088.84;1073812.37;0;45276.47;0;74525.28;0;0;0;0;0;0;0;9530753.5;9605278.78
03.507.519/0001-59;2024-01-01;1;8148392.38;5498.24;0;0;8142894.14;552225710.59;552225710.59;0;0;0;552225710.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7015654.76;5327803.41;0;1687851.35;2938352.14;88314.08;0;0;0;345062.79;0;0;150246.25;179496.35;3701471.61
03.507.519/0001-59;2024-02-01;1;7648931.26;5302.87;0;0;7643628.39;552225710.59;552225710.59;0;0;0;552225710.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6750102.82;5114125.11;0;1635977.71;2945549.58;90394.57;0;0;0;337220.45;0;0;150246.25;179496.35;3702907.2
03.507.519/0001-59;2024-03-01;1;8338528.24;5610.64;0;0;8332917.6;552225710.59;552225710.59;0;0;0;552225710.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6517210.36;4941930.85;0;1575279.51;2924669.15;89886.66;0;0;0;329378.11;0;0;150246.25;164228.68;3658408.85
03.507.519/0001-59;2024-04-01;1;8450402.38;5434.1;0;0;8444968.28;552225710.59;552225710.59;0;0;0;552225710.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6476269.2;4745031.86;0;1731237.34;2930995.01;88305.64;0;0;0;321535.77;0;0;150246.25;160954.22;3652036.89
03.507.519/0001-59;2024-05-01;1;8805339.79;5277.49;0;0;8800062.3;552225710.59;552225710.59;0;0;0;552225710.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6367780.18;4774297.16;0;1593483.02;3481161.1;88006.51;0;0;0;313693.43;0;0;150246.25;157679.76;4190787.05
